(  |  OPEN_PARENTHESIS
1  |  NUMBER
,  |  COMMA
2  |  NUMBER
)  |  CLOSE_PARENTHESIS
,  |  COMMA
(  |  OPEN_PARENTHESIS
1  |  NUMBER
,  |  COMMA
red  |  COLOR_RED
)  |  CLOSE_PARENTHESIS
,  |  COMMA
(  |  OPEN_PARENTHESIS
3  |  NUMBER
,  |  COMMA
2  |  NUMBER
)  |  CLOSE_PARENTHESIS
,  |  COMMA
(  |  OPEN_PARENTHESIS
2  |  NUMBER
,  |  COMMA
green  |  COLOR_GREEN
)  |  CLOSE_PARENTHESIS
,  |  COMMA
(  |  OPEN_PARENTHESIS
3  |  NUMBER
,  |  COMMA
yellow  |  COLOR_YELLOW
)  |  CLOSE_PARENTHESIS
